Macedonia, FYR;2078000;50.22;57.10;100.00;100.00;70.38;0.00;0.00;0.00;38.10;44.05;28.60;27.60;90.90;99.40;25.71;37.57;6.29;96.87;98.84;0.45;0.51;0.51;0.58
Madagascar;24235000;50.15;35.11;8.10;60.70;4.17;0.20;0.20;0.00;4.01;42.65;1.60;1.10;12.00;51.50;2.81;21.91;0.13;62.61;66.74;3.23;3.93;4.53;5.36
Malawi;17215000;50.08;16.27;2.00;37.10;9.30;3.20;1.80;0.00;3.24;46.12;6.70;6.10;41.00;90.20;6.60;26.60;1.25;59.03;73.02;3.96;4.70;5.95;6.83
Malaysia;30331000;48.40;74.71;100.00;100.00;71.06;0.10;0.20;0.00;73.84;46.26;3.20;2.70;96.00;98.20;1.60;44.90;8.29;93.11;96.20;0.53;0.66;0.63;0.77
Maldives;409000;49.85;45.54;100.00;100.00;54.46;0.00;0.00;0.00;34.99;38.37;7.80;4.15;97.90;98.60;2.56;26.81;25.87;98.86;99.80;0.66;0.81;0.77;0.94
Mali;17600000;49.52;39.92;11.90;50.41;10.34;0.60;0.40;91.40;5.56;33.04;8.32;8.32;24.70;77.00;3.40;32.60;2.06;22.20;45.07;6.82;8.04;10.84;12.04
Malta;431000;50.20;95.41;100.00;100.00;76.18;0.00;0.00;0.00;91.34;27.7;5.40;6.10;100.00;100.00;21.50;31.50;9.90;95.59;92.53;0.47;0.55;0.59;0.69
Marshall Islands;53000;49.23;72.68;45.45;64.69;19.28;0.00;0.00;0.00;10.71;42.69;7.18;7.18;76.90;94.60;12.80;40.60;6.20;98.20;98.33;2.59;3.30;3.19;3.99
Mauritania;4068000;49.68;59.86;4.35;46.01;15.20;0.30;0.20;0.00;10.66;32.42;19.69;19.69;40.00;57.90;4.00;38.90;3.40;41.61;62.63;5.87;7.34;7.95;9.58
Mauritius;1263000;50.61;39.67;100.00;100.00;50.14;0.20;0.10;0.00;55.03;35.84;11.40;5.40;93.10;99.90;3.50;41.30;2.25;88.45;92.87;1.04;1.32;1.20;1.50
Mexico;127017000;50.26;79.25;97.20;99.62;57.43;0.10;0.10;0.00;47.31;48.21;4.80;4.90;85.20;96.10;7.60;23.30;0.94;93.51;95.61;1.02;1.24;1.19;1.44
Micronesia, Fed. Sts.;104000;48.77;22.42;45.45;100.00;31.50;0.00;0.00;0.00;9.58;42.46;7.18;7.18;57.10;89.00;12.80;40.60;2.64;99.55;99.50;2.54;3.16;3.10;3.82
Moldova;3554000;51.93;45.00;100.00;100.00;49.84;0.20;0.20;0.00;13.83;26.83;3.10;4.60;76.40;88.40;5.40;44.60;3.51;99.10;99.40;1.20;1.52;1.40;1.76
Monaco;38000;51.14;100.00;100.00;100.00;93.36;0.00;0.00;0.00;81.59;30.13;10.21;10.09;100.00;100.00;24.77;31.79;55.77;100.00;100.00;0.25;0.31;0.31;0.39
Mongolia;2959000;50.50;72.04;69.85;98.56;21.44;0.10;0.10;0.00;33.48;32.04;8.30;7.60;59.70;64.40;5.80;49.30;0.60;98.55;98.18;1.51;2.28;1.79;2.66
Montenegro;622000;50.59;64.03;100.00;100.00;64.56;0.00;0.00;0.00;42.37;31.93;18.20;17.80;95.90;99.70;25.71;37.57;13.19;98.02;99.45;0.41;0.46;0.44;0.49
Morocco;34378000;50.58;60.20;100.00;100.00;57.08;0.10;0.10;0.00;21.48;40.72;10.40;9.70;76.70;85.40;1.70;42.50;0.26;62.05;81.88;2.10;2.62;2.47;3.03
Mozambique;27978000;51.15;32.21;5.40;54.50;9.00;4.00;2.30;0.00;3.27;45.58;24.60;19.90;20.50;51.10;6.20;33.40;0.80;45.53;73.43;5.27;6.05;7.39;8.29
Myanmar;53897000;51.14;34.10;31.15;94.99;21.80;0.40;0.40;0.00;14.38;42.16;4.12;4.12;79.60;80.60;7.70;35.20;0.14;91.15;95.17;3.49;4.38;4.49;5.49
Namibia;2459000;51.33;46.66;17.35;94.11;22.31;3.90;2.40;0.00;28.52;60.97;33.10;25.80;34.40;91.00;12.00;36.40;3.82;90.65;91.01;2.94;3.61;4.12;4.94
